0_date,miami,formaldate
2019-07-15,0.7237577921748989,2019-07-15
2019-07-16,0.7252670375698078,2019-07-16
2019-07-17,0.7186763891719024,2019-07-17
2019-07-18,0.7204998438104746,2019-07-18
2019-07-19,0.7335556360972031,2019-07-19
2019-07-20,0.6935523294891371,2019-07-20
2019-07-21,0.6814197549133973,2019-07-21
2019-07-22,0.7126477298792322,2019-07-22
2019-07-23,0.7216911039528894,2019-07-23
2019-07-24,0.7241802265254019,2019-07-24
2019-07-25,0.7272506509115825,2019-07-25
2019-07-26,0.7394378478379515,2019-07-26
2019-07-27,0.7030818250737243,2019-07-27
2019-07-28,0.6815392983706807,2019-07-28
2019-07-29,0.7183754889359562,2019-07-29
2019-07-30,0.7273649357917527,2019-07-30
2019-07-31,0.726064156628697,2019-07-31
2019-08-01,0.7101152440336237,2019-08-01
2019-08-02,0.7234861731252424,2019-08-02
2019-08-03,0.6830281207751567,2019-08-03
2019-08-04,0.6522642792953375,2019-08-04
2019-08-05,0.7034810389776888,2019-08-05
2019-08-06,0.6991026521745091,2019-08-06
2019-08-07,0.7180462471119871,2019-08-07
2019-08-08,0.7070958183199078,2019-08-08
2019-08-09,0.7463287463003008,2019-08-09
2019-08-10,0.7083880147904891,2019-08-10
2019-08-11,0.6819510172498444,2019-08-11
2019-08-12,0.7254676291520668,2019-08-12
2019-08-13,0.7197292260392072,2019-08-13
2019-08-14,0.7444007588067346,2019-08-14
2019-08-15,0.7335991230306307,2019-08-15
2019-08-16,0.7543278810330575,2019-08-16
2019-08-17,0.7196248787011226,2019-08-17
2019-08-18,0.6857378824184152,2019-08-18
2019-08-19,0.7506580652171205,2019-08-19
2019-08-20,0.7496480622885446,2019-08-20
2019-08-21,0.7443909282927366,2019-08-21
2019-08-22,0.755092744398893,2019-08-22
2019-08-23,0.7469716431940259,2019-08-23
2019-08-24,0.6979294380979151,2019-08-24
2019-08-25,0.6642133358385187,2019-08-25
2019-08-26,0.7459784559166989,2019-08-26
2019-08-27,0.7396442670695121,2019-08-27
2019-08-28,0.7467075388093912,2019-08-28
2019-08-29,0.7609501405899389,2019-08-29
2019-08-30,0.7465227351930909,2019-08-30
2019-08-31,0.6767139975918423,2019-08-31
2019-09-01,0.6345930903553767,2019-09-01
2019-09-02,0.5553305853789559,2019-09-02
2019-09-03,0.6159201296996786,2019-09-03
2019-09-04,0.7204266542688053,2019-09-04
2019-09-05,0.7399671389043018,2019-09-05
2019-09-06,0.7419347196427966,2019-09-06
2019-09-07,0.7047246094202145,2019-09-07
2019-09-08,0.6600225538002199,2019-09-08
2019-09-09,0.7369072542686351,2019-09-09
2019-09-10,0.7415666356161124,2019-09-10
2019-09-11,0.734023125001376,2019-09-11
2019-09-12,0.731851870427418,2019-09-12
2019-09-13,0.7354733354640114,2019-09-13
2019-09-14,0.6890688123941546,2019-09-14
2019-09-15,0.6531118639889641,2019-09-15
2019-09-16,0.7405168974475466,2019-09-16
2019-09-17,0.7368090076218886,2019-09-17
2019-09-18,0.7476081645981644,2019-09-18
2019-09-19,0.7424596910413859,2019-09-19
2019-09-20,0.743703506612355,2019-09-20
2019-09-21,0.6940132930491968,2019-09-21
2019-09-22,0.6651186592138805,2019-09-22
2019-09-23,0.7441625442052501,2019-09-23
2019-09-24,0.7425988083493241,2019-09-24
2019-09-25,0.745280566238543,2019-09-25
2019-09-26,0.7552260783278864,2019-09-26
2019-09-27,0.7556313487063292,2019-09-27
2019-09-28,0.7207751724537729,2019-09-28
2019-09-29,0.682191757697049,2019-09-29
2019-09-30,0.7271221569031027,2019-09-30
2019-10-01,0.7424062630664742,2019-10-01
2019-10-02,0.7404056898332605,2019-10-02
2019-10-03,0.7640171456412788,2019-10-03
2019-10-04,0.7693289606049211,2019-10-04
2019-10-05,0.7240401062408717,2019-10-05
2019-10-06,0.6819007843321542,2019-10-06
2019-10-07,0.7350697479507274,2019-10-07
2019-10-08,0.7526167161134172,2019-10-08
2019-10-09,0.7076110234679229,2019-10-09
2019-10-10,0.7357037519237575,2019-10-10
2019-10-11,0.7492198455582627,2019-10-11
2019-10-12,0.7130563075016375,2019-10-12
2019-10-13,0.6694811035910584,2019-10-13
2019-10-14,0.7286516460675235,2019-10-14
2019-10-15,0.7273561773356344,2019-10-15
2019-10-16,0.7431001757946449,2019-10-16
2019-10-17,0.7415543465033646,2019-10-17
2019-10-18,0.7348851783680609,2019-10-18
2019-10-19,0.7142731820359242,2019-10-19
2019-10-20,0.6757635612223671,2019-10-20
2019-10-21,0.7343859077197792,2019-10-21
2019-10-22,0.7460354144688768,2019-10-22
2019-10-23,0.7476177158046466,2019-10-23
2019-10-24,0.7508402870166568,2019-10-24
2019-10-25,0.7538807574656878,2019-10-25
2019-10-26,0.7150907026938128,2019-10-26
2019-10-27,0.6778666628124416,2019-10-27
2019-10-28,0.7526925078111569,2019-10-28
2019-10-29,0.7528743095051846,2019-10-29
2019-10-30,0.7647262245405682,2019-10-30
2019-10-31,0.7811589281692594,2019-10-31
2019-11-01,0.7607066660471926,2019-11-01
2019-11-02,0.7281465062075984,2019-11-02
2019-11-03,0.6621365075626822,2019-11-03
2019-11-04,0.7300889281483398,2019-11-04
2019-11-05,0.7580306787088877,2019-11-05
2019-11-06,0.7626382532432597,2019-11-06
2019-11-07,0.7642608721408422,2019-11-07
2019-11-08,0.7705640565261643,2019-11-08
2019-11-09,0.6935913605779392,2019-11-09
2019-11-10,0.6822668931875141,2019-11-10
2019-11-11,0.7032388172748336,2019-11-11
2019-11-12,0.7397467993342963,2019-11-12
2019-11-13,0.7492729020852513,2019-11-13
2019-11-14,0.7416863896249006,2019-11-14
2019-11-15,0.7505685043802264,2019-11-15
2019-11-16,0.7135757956811148,2019-11-16
2019-11-17,0.6632845401782331,2019-11-17
2019-11-18,0.7445844274123494,2019-11-18
2019-11-19,0.748158002607525,2019-11-19
2019-11-20,0.7572425466392233,2019-11-20
2019-11-21,0.774685797651792,2019-11-21
2019-11-22,0.7780731444339417,2019-11-22
2019-11-23,0.7124390861299236,2019-11-23
2019-11-24,0.6731957672645011,2019-11-24
2019-11-25,0.7451714529953345,2019-11-25
2019-11-26,0.7477199834300787,2019-11-26
2019-11-27,0.7443102670239331,2019-11-27
2019-11-28,0.6923346971041143,2019-11-28
2019-11-29,0.7354392239205844,2019-11-29
2019-11-30,0.7343493782311743,2019-11-30
2019-12-01,0.674908094768682,2019-12-01
2019-12-02,0.7431925673923055,2019-12-02
2019-12-03,0.7576326569195447,2019-12-03
2019-12-04,0.7531305080015414,2019-12-04
2019-12-05,0.7607947144535152,2019-12-05
2019-12-06,0.7674227753124998,2019-12-06
2019-12-07,0.7237073586408101,2019-12-07
2019-12-08,0.6804153803583378,2019-12-08
2019-12-09,0.7437215805457261,2019-12-09
2019-12-10,0.7559506641966477,2019-12-10
2019-12-11,0.7569965524023381,2019-12-11
2019-12-12,0.7449894274492256,2019-12-12
2019-12-13,0.7597412626947955,2019-12-13
2019-12-14,0.7220284023213026,2019-12-14
2019-12-15,0.6888361240987417,2019-12-15
2019-12-16,0.7364380161298247,2019-12-16
2019-12-17,0.7556929459209978,2019-12-17
2019-12-18,0.7489531506444753,2019-12-18
2019-12-19,0.7534892400855376,2019-12-19
2019-12-20,0.7541463536170114,2019-12-20
2019-12-21,0.7156064232142866,2019-12-21
2019-12-22,0.6985447372956362,2019-12-22
2019-12-23,0.7324546525250907,2019-12-23
2019-12-24,0.7475237213443721,2019-12-24
2019-12-25,0.6473152369245476,2019-12-25
2019-12-26,0.7116360323056768,2019-12-26
2019-12-27,0.7365542940300154,2019-12-27
2019-12-28,0.7249624615397879,2019-12-28
2019-12-29,0.7048646047151533,2019-12-29
2019-12-30,0.7354697503160679,2019-12-30
2019-12-31,0.7738545371888758,2019-12-31
2020-01-01,0.7310130401836893,2020-01-01
2020-01-02,0.7532564720905075,2020-01-02
2020-01-03,0.7611043477700797,2020-01-03
2020-01-04,0.7279322956564109,2020-01-04
2020-01-05,0.700231268300099,2020-01-05
2020-01-06,0.7545388746746023,2020-01-06
