0_date,losangeles,formaldate
2020-01-06,0.7420449503720322,2020-01-06
2020-01-07,0.7580898162809159,2020-01-07
2020-01-08,0.7671185970807545,2020-01-08
2020-01-09,0.7549307297948895,2020-01-09
2020-01-10,0.7807427171441137,2020-01-10
2020-01-11,0.733174415726992,2020-01-11
2020-01-12,0.7140042988915017,2020-01-12
2020-01-13,0.7738050874386119,2020-01-13
2020-01-14,0.7831296005364565,2020-01-14
2020-01-15,0.7862201676311633,2020-01-15
2020-01-16,0.7889147873138952,2020-01-16
2020-01-17,0.7804676355038079,2020-01-17
2020-01-18,0.7551196524075766,2020-01-18
2020-01-19,0.7325830241906136,2020-01-19
2020-01-20,0.7393062555366577,2020-01-20
2020-01-21,0.7943622547235585,2020-01-21
2020-01-22,0.8052668531020987,2020-01-22
2020-01-23,0.7947615280701316,2020-01-23
2020-01-24,0.7893286938053615,2020-01-24
2020-01-25,0.7285080814229169,2020-01-25
2020-01-26,0.7122366834413795,2020-01-26
2020-01-27,0.7789111074941479,2020-01-27
2020-01-28,0.7952042641279169,2020-01-28
2020-01-29,0.8071839653500459,2020-01-29
2020-01-30,0.8014216267922399,2020-01-30
2020-01-31,0.8142673220589749,2020-01-31
2020-02-01,0.7471332878643299,2020-02-01
2020-02-02,0.6905890081526371,2020-02-02
2020-02-03,0.7478286706383334,2020-02-03
2020-02-04,0.7583334393532929,2020-02-04
2020-02-05,0.7637134780167458,2020-02-05
2020-02-06,0.7693699172987527,2020-02-06
2020-02-07,0.7695144628794659,2020-02-07
2020-02-08,0.7331427227022882,2020-02-08
2020-02-09,0.6875120487604586,2020-02-09
2020-02-10,0.7471274540536105,2020-02-10
2020-02-11,0.771462641501081,2020-02-11
2020-02-12,0.778320168618553,2020-02-12
2020-02-13,0.7644964974045241,2020-02-13
2020-02-14,0.7969455583847352,2020-02-14
2020-02-15,0.7563623616885892,2020-02-15
2020-02-16,0.7261339370089466,2020-02-16
2020-02-17,0.7394892418693014,2020-02-17
2020-02-18,0.7849505710329958,2020-02-18
2020-02-19,0.7792820828291037,2020-02-19
2020-02-20,0.784876516161609,2020-02-20
2020-02-21,0.7983907590722833,2020-02-21
2020-02-22,0.7587552995036445,2020-02-22
2020-02-23,0.7396876308059078,2020-02-23
2020-02-24,0.779221958268601,2020-02-24
2020-02-25,0.6681344875810725,2020-02-25
2020-02-26,0.8134651350202272,2020-02-26
2020-02-27,0.7986513450186411,2020-02-27
2020-02-28,0.8029625155101703,2020-02-28
2020-02-29,0.7717426972659638,2020-02-29
2020-03-01,0.6904087663410651,2020-03-01
2020-03-02,0.7501392634039682,2020-03-02
2020-03-03,0.7946370290839142,2020-03-03
2020-03-04,0.79069754764632,2020-03-04
