0_date,newyorkcity,formaldate
2019-11-01,0.7433764267132139,2019-11-01
2019-11-02,0.6914961396250145,2019-11-02
2019-11-03,0.6409116814025821,2019-11-03
2019-11-04,0.7247507501452606,2019-11-04
2019-11-05,0.7016450051140674,2019-11-05
2019-11-06,0.7414802751294677,2019-11-06
2019-11-07,0.734007445987018,2019-11-07
2019-11-08,0.7352640266168475,2019-11-08
2019-11-09,0.6708197680976636,2019-11-09
2019-11-10,0.6411671084483032,2019-11-10
2019-11-11,0.675377845364286,2019-11-11
2019-11-12,0.7051569406620197,2019-11-12
2019-11-13,0.7251738049121174,2019-11-13
2019-11-14,0.7274255775007172,2019-11-14
2019-11-15,0.7282656539547896,2019-11-15
2019-11-16,0.6726818199720562,2019-11-16
2019-11-17,0.6275079693875365,2019-11-17
2019-11-18,0.7174548493191317,2019-11-18
2019-11-19,0.7094905015158941,2019-11-19
2019-11-20,0.7302453149152994,2019-11-20
2019-11-21,0.7480426943151192,2019-11-21
2019-11-22,0.7404865065963557,2019-11-22
2019-11-23,0.6688543630202618,2019-11-23
2019-11-24,0.6173556558671943,2019-11-24
2019-11-25,0.7280707296118433,2019-11-25
2019-11-26,0.7348987703483683,2019-11-26
2019-11-27,0.7359655929435025,2019-11-27
2019-11-28,0.6611211717092194,2019-11-28
2019-11-29,0.6932355920036346,2019-11-29
2019-11-30,0.6920522291795712,2019-11-30
2019-12-01,0.5764014506055477,2019-12-01
2019-12-02,0.6619112805477355,2019-12-02
2019-12-03,0.7133020165611353,2019-12-03
2019-12-04,0.727982666209232,2019-12-04
2019-12-05,0.7228281620540029,2019-12-05
2019-12-06,0.730057491208196,2019-12-06
2019-12-07,0.667687414569744,2019-12-07
2019-12-08,0.6327535313661501,2019-12-08
2019-12-09,0.7080194624446859,2019-12-09
2019-12-10,0.7256173020517788,2019-12-10
2019-12-11,0.7176886119797778,2019-12-11
2019-12-12,0.7198473881240679,2019-12-12
2019-12-13,0.7228938043936152,2019-12-13
2019-12-14,0.6640058074030056,2019-12-14
2019-12-15,0.6288762511779192,2019-12-15
2019-12-16,0.7120989970103451,2019-12-16
2019-12-17,0.6952585403247743,2019-12-17
2019-12-18,0.7119069684228441,2019-12-18
2019-12-19,0.7224912818868561,2019-12-19
2019-12-20,0.7328974679675069,2019-12-20
2019-12-21,0.6858235471066857,2019-12-21
2019-12-22,0.6618216568595661,2019-12-22
2019-12-23,0.705323159280895,2019-12-23
