0_date,chicago,formaldate
2020-01-12,0.6703677177861094,2020-01-12
2020-01-13,0.771380235661502,2020-01-13
2020-01-14,0.7711999932649203,2020-01-14
2020-01-15,0.7963103358530138,2020-01-15
2020-01-16,0.7783807623941518,2020-01-16
2020-01-17,0.7698334645726658,2020-01-17
2020-01-18,0.7148112184812935,2020-01-18
2020-01-19,0.6796502927404436,2020-01-19
2020-01-20,0.7258675560643492,2020-01-20
2020-01-21,0.7798387068242093,2020-01-21
2020-01-22,0.7953138181403123,2020-01-22
2020-01-23,0.7764804650134867,2020-01-23
2020-01-24,0.7905264932081478,2020-01-24
2020-01-25,0.7370955530646941,2020-01-25
2020-01-26,0.7045129010924986,2020-01-26
2020-01-27,0.7836466044536029,2020-01-27
2020-01-28,0.7812666107060646,2020-01-28
2020-01-29,0.7947311139863152,2020-01-29
2020-01-30,0.7914517127047522,2020-01-30
2020-01-31,0.7990344914181475,2020-01-31
2020-02-01,0.7154149695615151,2020-02-01
2020-02-02,0.6744684411977506,2020-02-02
2020-02-03,0.7439222566841215,2020-02-03
2020-02-04,0.7492059642036318,2020-02-04
2020-02-05,0.7518987170186792,2020-02-05
2020-02-06,0.7468191292885731,2020-02-06
2020-02-07,0.7581317536870594,2020-02-07
2020-02-08,0.7288966777523102,2020-02-08
2020-02-09,0.6777805012454844,2020-02-09
2020-02-10,0.7587870301890128,2020-02-10
2020-02-11,0.7658598795075043,2020-02-11
2020-02-12,0.7673703545348224,2020-02-12
2020-02-13,0.7192114674093836,2020-02-13
2020-02-14,0.7690342132724562,2020-02-14
2020-02-15,0.7275936102182929,2020-02-15
2020-02-16,0.724015104441188,2020-02-16
2020-02-17,0.7259720928619778,2020-02-17
2020-02-18,0.7778886184442863,2020-02-18
2020-02-19,0.7646523800085504,2020-02-19
2020-02-20,0.7866270929719045,2020-02-20
2020-02-21,0.7878491245879824,2020-02-21
2020-02-22,0.7552875219825868,2020-02-22
2020-02-23,0.7161644954298316,2020-02-23
2020-02-24,0.7554031421861891,2020-02-24
2020-02-25,0.6474727484812761,2020-02-25
2020-02-26,0.775944438659385,2020-02-26
2020-02-27,0.7930919908567893,2020-02-27
2020-02-28,0.7854906639981923,2020-02-28
2020-02-29,0.7592569325455583,2020-02-29
2020-03-01,0.694441118802013,2020-03-01
