0_date,boston,formaldate
2019-09-12,0.7355728519717296,2019-09-12
2019-09-13,0.7447871876203597,2019-09-13
2019-09-14,0.6999526554493216,2019-09-14
2019-09-15,0.6644148830407856,2019-09-15
2019-09-16,0.7288634837923043,2019-09-16
2019-09-17,0.7376768189417336,2019-09-17
2019-09-18,0.7435840998830163,2019-09-18
2019-09-19,0.7435296336897411,2019-09-19
2019-09-20,0.7550430006266321,2019-09-20
2019-09-21,0.7092012246161798,2019-09-21
2019-09-22,0.670043443880328,2019-09-22
2019-09-23,0.7301377092977429,2019-09-23
2019-09-24,0.7428704024438394,2019-09-24
2019-09-25,0.7496347714649225,2019-09-25
2019-09-26,0.7450329412304197,2019-09-26
2019-09-27,0.7578125630590575,2019-09-27
2019-09-28,0.7220266149226859,2019-09-28
2019-09-29,0.6838129635520337,2019-09-29
2019-09-30,0.7446300524742775,2019-09-30
2019-10-01,0.7301120137868231,2019-10-01
2019-10-02,0.7302951642414088,2019-10-02
2019-10-03,0.7631989815660684,2019-10-03
2019-10-04,0.7691737613043648,2019-10-04
2019-10-05,0.7421159571777601,2019-10-05
2019-10-06,0.6838192402122146,2019-10-06
2019-10-07,0.7243495933753252,2019-10-07
2019-10-08,0.7566422205230543,2019-10-08
2019-10-09,0.7380602124307057,2019-10-09
2019-10-10,0.7179562894330421,2019-10-10
2019-10-11,0.7442481403983802,2019-10-11
2019-10-12,0.7156370516124338,2019-10-12
2019-10-13,0.7010016151575508,2019-10-13
2019-10-14,0.6962324088913179,2019-10-14
2019-10-15,0.738781010345171,2019-10-15
2019-10-16,0.7578819978148326,2019-10-16
2019-10-17,0.7248948971251584,2019-10-17
2019-10-18,0.7505413350313243,2019-10-18
2019-10-19,0.7302074840920764,2019-10-19
2019-10-20,0.6859457020275761,2019-10-20
2019-10-21,0.7260381675992869,2019-10-21
2019-10-22,0.7484068633180762,2019-10-22
2019-10-23,0.7611928503739329,2019-10-23
2019-10-24,0.757624383531879,2019-10-24
2019-10-25,0.7654758700760744,2019-10-25
2019-10-26,0.7199197684129249,2019-10-26
2019-10-27,0.6441873836861082,2019-10-27
2019-10-28,0.7482569311069838,2019-10-28
2019-10-29,0.7654018444097667,2019-10-29
2019-10-30,0.7665753392758198,2019-10-30
2019-10-31,0.7828981266374909,2019-10-31
2019-11-01,0.769620900981674,2019-11-01
2019-11-02,0.7326715277575672,2019-11-02
2019-11-03,0.6639716525181792,2019-11-03
2019-11-04,0.7543308182203355,2019-11-04
2019-11-05,0.7383447256974586,2019-11-05
2019-11-06,0.7717157848590396,2019-11-06
2019-11-07,0.7613445815840465,2019-11-07
2019-11-08,0.7655228729786548,2019-11-08
2019-11-09,0.7109058430231311,2019-11-09
2019-11-10,0.6737465269742773,2019-11-10
2019-11-11,0.6857427011223507,2019-11-11
2019-11-12,0.7249997813697323,2019-11-12
2019-11-13,0.7337369421621143,2019-11-13
2019-11-14,0.7540717195720278,2019-11-14
2019-11-15,0.7414389893544264,2019-11-15
2019-11-16,0.70397650342872,2019-11-16
2019-11-17,0.6434477542344499,2019-11-17
2019-11-18,0.7292232807097657,2019-11-18
2019-11-19,0.7376754924653396,2019-11-19
2019-11-20,0.743616290847937,2019-11-20
2019-11-21,0.7743037646144909,2019-11-21
2019-11-22,0.7678125906740374,2019-11-22
2019-11-23,0.7153521712274601,2019-11-23
2019-11-24,0.6396454274313148,2019-11-24
2019-11-25,0.746509791400616,2019-11-25
2019-11-26,0.7432774115319446,2019-11-26
2019-11-27,0.7392668773607002,2019-11-27
2019-11-28,0.6656929589509577,2019-11-28
2019-11-29,0.7241945514796128,2019-11-29
2019-11-30,0.7246698561372945,2019-11-30
2019-12-01,0.6298427161202205,2019-12-01
2019-12-02,0.6379437147278781,2019-12-02
2019-12-03,0.6130576184075128,2019-12-03
2019-12-04,0.7451172771348532,2019-12-04
2019-12-05,0.7416162775630031,2019-12-05
2019-12-06,0.745911882358381,2019-12-06
2019-12-07,0.7021290972393526,2019-12-07
2019-12-08,0.6652940537492359,2019-12-08
2019-12-09,0.7315958398429603,2019-12-09
2019-12-10,0.7424882591583223,2019-12-10
2019-12-11,0.7374033335803828,2019-12-11
2019-12-12,0.7414138397845688,2019-12-12
2019-12-13,0.7505617685111787,2019-12-13
2019-12-14,0.6940200428686767,2019-12-14
2019-12-15,0.6607805421996825,2019-12-15
2019-12-16,0.7292230820295169,2019-12-16
2019-12-17,0.6916065774033829,2019-12-17
2019-12-18,0.7429774843905105,2019-12-18
2019-12-19,0.7453460968764009,2019-12-19
2019-12-20,0.7531887212503068,2019-12-20
2019-12-21,0.7156258106383546,2019-12-21
2019-12-22,0.6985792533288475,2019-12-22
2019-12-23,0.7429005610114858,2019-12-23
2019-12-24,0.7351853317354767,2019-12-24
2019-12-25,0.6436065708383168,2019-12-25
2019-12-26,0.7135818387358003,2019-12-26
2019-12-27,0.7496328583156833,2019-12-27
2019-12-28,0.7266974291051171,2019-12-28
2019-12-29,0.6970937231505411,2019-12-29
2019-12-30,0.6923470325225857,2019-12-30
2019-12-31,0.76451526090721,2019-12-31
2020-01-01,0.6845291540081786,2020-01-01
2020-01-02,0.7503556821982372,2020-01-02
2020-01-03,0.7675864355627346,2020-01-03
2020-01-04,0.7146961749350985,2020-01-04
2020-01-05,0.6698437826752638,2020-01-05
2020-01-06,0.76713133937749,2020-01-06
2020-01-07,0.7738493058371794,2020-01-07
2020-01-08,0.7707368546790846,2020-01-08
2020-01-09,0.7815975526216697,2020-01-09
2020-01-10,0.7853998127577767,2020-01-10
2020-01-11,0.7505754861722235,2020-01-11
2020-01-12,0.7139585491829641,2020-01-12
2020-01-13,0.7830143639068965,2020-01-13
2020-01-14,0.7916034285645915,2020-01-14
2020-01-15,0.8019287218703134,2020-01-15
2020-01-16,0.8082024932237355,2020-01-16
2020-01-17,0.7970627477165861,2020-01-17
2020-01-18,0.7396376533800918,2020-01-18
2020-01-19,0.6936451207357425,2020-01-19
2020-01-20,0.7355303433914134,2020-01-20
2020-01-21,0.7973080207392563,2020-01-21
2020-01-22,0.8093499113027807,2020-01-22
2020-01-23,0.8081486803892947,2020-01-23
2020-01-24,0.8180983225951535,2020-01-24
2020-01-25,0.7503550290708336,2020-01-25
2020-01-26,0.7283670341880079,2020-01-26
2020-01-27,0.8000744973131041,2020-01-27
2020-01-28,0.8123815409537357,2020-01-28
2020-01-29,0.8218532118275405,2020-01-29
2020-01-30,0.8133769985064175,2020-01-30
2020-01-31,0.825877910850842,2020-01-31
2020-02-01,0.7285762529492683,2020-02-01
2020-02-02,0.6777389056052426,2020-02-02
2020-02-03,0.7668928502676554,2020-02-03
2020-02-04,0.7781398834968142,2020-02-04
2020-02-05,0.7675249469034529,2020-02-05
2020-02-06,0.7545853533527302,2020-02-06
2020-02-07,0.7691429866380314,2020-02-07
2020-02-08,0.752219335244948,2020-02-08
2020-02-09,0.7001873654429651,2020-02-09
