0_date,seattle,formaldate
2019-06-18,0.7114192026335201,2019-06-18
2019-06-19,0.7178840307784372,2019-06-19
2019-06-20,0.7231042477338366,2019-06-20
2019-06-21,0.7272793225245624,2019-06-21
2019-06-22,0.6999831301571302,2019-06-22
2019-06-23,0.6624055882194412,2019-06-23
2019-06-24,0.6997519833576158,2019-06-24
2019-06-25,0.7043702877086379,2019-06-25
2019-06-26,0.7026604052281633,2019-06-26
2019-06-27,0.7065309446172039,2019-06-27
2019-06-28,0.7183760095830465,2019-06-28
2019-06-29,0.6942493398040539,2019-06-29
2019-06-30,0.6752503547819644,2019-06-30
2019-07-01,0.6856404177038776,2019-07-01
2019-07-02,0.6903420756422739,2019-07-02
2019-07-03,0.7152196833513421,2019-07-03
2019-07-04,0.6811275738468169,2019-07-04
2019-07-05,0.6969763039917221,2019-07-05
2019-07-06,0.6808031569030417,2019-07-06
2019-07-07,0.6374950650177191,2019-07-07
2019-07-08,0.6952475907938008,2019-07-08
2019-07-09,0.6986243348809162,2019-07-09
2019-07-10,0.694644851800208,2019-07-10
2019-07-11,0.7054464164251735,2019-07-11
2019-07-12,0.7306017302174369,2019-07-12
2019-07-13,0.6994870048947713,2019-07-13
2019-07-14,0.6562327121799575,2019-07-14
2019-07-15,0.6960339211435976,2019-07-15
2019-07-16,0.7045813947713587,2019-07-16
2019-07-17,0.6963780441927273,2019-07-17
2019-07-18,0.6998192101762091,2019-07-18
2019-07-19,0.7096556980751126,2019-07-19
2019-07-20,0.6912394147042616,2019-07-20
2019-07-21,0.6687692090139209,2019-07-21
2019-07-22,0.6919695135286837,2019-07-22
2019-07-23,0.7120681810689542,2019-07-23
2019-07-24,0.7164743155792835,2019-07-24
2019-07-25,0.7130871570717691,2019-07-25
2019-07-26,0.7302502821981947,2019-07-26
2019-07-27,0.7038708232882601,2019-07-27
2019-07-28,0.6796751284045384,2019-07-28
2019-07-29,0.7112923039377326,2019-07-29
2019-07-30,0.7141048783437944,2019-07-30
2019-07-31,0.7293785883655345,2019-07-31
2019-08-01,0.7157646000236251,2019-08-01
2019-08-02,0.7145035542958793,2019-08-02
2019-08-03,0.6849408208630121,2019-08-03
2019-08-04,0.6663799166863951,2019-08-04
2019-08-05,0.6838542612821651,2019-08-05
2019-08-06,0.6909673177022401,2019-08-06
2019-08-07,0.6975705921957702,2019-08-07
2019-08-08,0.7014545564300873,2019-08-08
2019-08-09,0.7181708027960271,2019-08-09
2019-08-10,0.6844745521897795,2019-08-10
2019-08-11,0.6722888580781875,2019-08-11
2019-08-12,0.7056314129581985,2019-08-12
2019-08-13,0.7117859158329565,2019-08-13
2019-08-14,0.7277045639181775,2019-08-14
2019-08-15,0.7258829404502679,2019-08-15
2019-08-16,0.7233110186346016,2019-08-16
2019-08-17,0.7024741538382621,2019-08-17
2019-08-18,0.6729476223655398,2019-08-18
2019-08-19,0.7173317963870075,2019-08-19
2019-08-20,0.7160020882556493,2019-08-20
2019-08-21,0.7105034232973315,2019-08-21
2019-08-22,0.7259946864173303,2019-08-22
2019-08-23,0.7265259278658893,2019-08-23
2019-08-24,0.7013553589388843,2019-08-24
2019-08-25,0.6725282457009014,2019-08-25
2019-08-26,0.7053722527505001,2019-08-26
2019-08-27,0.7251225311256532,2019-08-27
2019-08-28,0.719187217705445,2019-08-28
2019-08-29,0.7251566976205187,2019-08-29
2019-08-30,0.7378279733453894,2019-08-30
2019-08-31,0.7204916161496292,2019-08-31
2019-09-01,0.6891487623981041,2019-09-01
2019-09-02,0.6559575014805593,2019-09-02
2019-09-03,0.7110484850186695,2019-09-03
2019-09-04,0.7234704402006723,2019-09-04
2019-09-05,0.726502041260657,2019-09-05
2019-09-06,0.7302491666000609,2019-09-06
2019-09-07,0.6765241586703844,2019-09-07
